Sno,Act,Scene,Dialogue,ground_truth
30,3,2,"Ay, my lord.",Fear
31,3,2,"I think nothing, my lord.",Surprise
32,3,2,"What is, my lord?",Surprise
33,3,2,"You are merry, my lord.",Joy
34,3,2,"Ay, my lord.",neutral
35,3,2,"Nay 'tis twice two months, my lord.",Neutral
36,3,2,"What means this, my lord?",Surprise
37,3,2,Belike this show imports the argument of the play.,Neutral
38,3,2,Will he tell us what this show meant?,surprise
39,3,2,"You are naught, you are naught! I'll mark the play. Pro. For us, and for our tragedy, Here stooping to your clemency, We beg your hearing patiently. ",Neutral
40,3,2,"Tis brief, my lord.",Neutral
41,3,2,"You are as good as a chorus, my lord.",Neutral
42,3,2,"You are keen, my lord, you are keen.",surprise
43,3,2,"Still better, and worse.",Sadness
44,3,2,The King rises.,Neutral
45,4,5,Where is the beauteous Majesty of Denmark?,surprise
46,4,5,"How should I your true-love know From another one? By his cockle bat and' staff And his sandal shoon.",sadness
47,4,5,"Say you? Nay, pray You mark. He is dead and gone, lady, He is dead and gone; At his head a grass-green turf, At his heels a stone. O, ho!",Disgust
48,4,5,"Pray you mark. White his shroud as the mountain snow-",sadness
49,4,5,"Larded all with sweet flowers; Which bewept to the grave did not go With true-love showers.",sadness
50,4,5,"Well, God dild you! They say the owl was a baker's daughter. Lord, we know what we are, but know not what we may be. God be at your table!",Disgust
51,4,5,"Pray let's have no words of this; but when they ask, you what it means, say you this: To-morrow is Saint Valentine's day, All in the morning bedtime, And I a maid at your window, To be your Valentine. Then up he rose and donn'd his clo'es And dupp'd the chamber door, Let in the maid, that out a maid Never departed more.",Neutral
52,4,5,"Indeed, la, without an oath, I'll make an end on't! By Gis and by Saint Charity, Alack, and fie for shame! Young men will do't if they come to't By Cock, they are to blame. Quoth she, 'Before you tumbled me, You promis'd me to wed.' He answers: 'So would I 'a' done, by yonder sun, An thou hadst not come to my bed.'",Anger
53,4,5,"I hope all will be well. We must be patient; but I cannot choose but weep to think they would lay him i' th' cold ground. My brother shall know of it; and so I thank you for your good counsel. Come, my coach! Good night, ladies. Good night, sweet ladies. Good night, good night. Exit",Sadness
54,4,5,"They bore him barefac'd on the bier (Hey non nony, nony, hey nony) And in his grave rain'd many a tear. Fare you well, my dove!",Sadness
55,4,5,"You must sing 'A-down a-down, and you call him a-down-a.' O, how the wheel becomes it! It is the false steward, that stole his master's daughter.",Anger
56,4,5,"There's rosemary, that's for remembrance. Pray you, love, remember. And there is pansies, that's for thoughts.",Neutral
57,4,5,"There's fennel for you, and columbines. There's rue for you, and here's some for me. We may call it herb of grace o' Sundays. O, you must wear your rue with a difference! There's a daisy. I would give you some violets, but they wither'd all when my father died. They say he made a good end. For bonny sweet Robin is all my joy.",Sadness
58,4,5,"And will he not come again? And will he not come again? No, no, he is dead; Go to thy deathbed; He never will come again. His beard was as white as snow, All flaxen was his poll. He is gone, he is gone, And we cast away moan. God 'a'mercy on his soul! And of all Christian souls, I pray God. God b' wi' you.",Anger
